jurisdicción,sector,ámbito,departamento,código_de_departamento,localidad,código_de_localidad,cueanexo,nombre,domicilio,c._p.,teléfono,mail,nro
Santa Fe,Estatal,Urbano,GENERAL OBLIGADO,82049,VILLA ANA,82049047,820000100,E.E.M.P.A. NRO 1282 IRMA SANTO FLEITAS DE GALIBERT,25 DE MAYO S/N  ,S3583,03482 494007,eempa1282_villaana@santafe.edu.ar,1282
Santa Fe,Estatal,Urbano,GENERAL OBLIGADO,82049,VILLA ANA,82049047,820000200,JARDIN DE INFANTES NRO 11 PRESBITERO CLAUDIO BIAGIONI,25 DE MAYO S/N CENTRO ,S3583,03482 494412,jardin11_villaana@santafe.edu.ar,11
Santa Fe,Estatal,Urbano,GENERAL OBLIGADO,82049,VILLA ANA,82049047,820000300,ESCUELA NRO 566 JUSTO JOSE DE URQUIZA,25 DE MAYO S/N  ,S3583,03482 494007,prim566_villaana@santafe.edu.ar,566
Santa Fe,Estatal,Rural,VERA,82133,LOS TABANOS,82133039,820000301,C.E.R. NRO 350 COSME MARIANO ARGERICH,   PARAJE LOS TABANOS - KM 19,S3551,03482 494007,cer350_golondrina@santafe.edu.ar,350
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820000400,ESCUELA NRO 6018 DOCTOR VICTORIANO MONTES,LARRALDE 3305 GODOY ,S2000,0341 4727593,prim6018_rosario@santafe.edu.ar,6018
Santa Fe,Estatal,Urbano,ROSARIO,82084,FUNES,82084023,820000500,CE.C.LA. NRO 49,BUENOS AIRES 1735  ,S2132,0341 4931199,cecla49_funes@santafe.edu.ar,49
Santa Fe,Privado,Urbano,GENERAL LOPEZ,82042,VILLA CAÑAS,82042049,820000600,E.E.S. ORIENTADA PART. INC. NRO 3004 SAN JOSÉ,CALLE 56 254  BD. EXTRADA EX 56,S2607,03462 450279,sec3004_villacanas@santafe.edu.ar,3004
Santa Fe,Privado,Urbano,GENERAL LOPEZ,82042,VILLA CAÑAS,82042049,820000700,ESCUELA PART. INC. NRO 1142 SAN JOSE,CALLE 56 254  BD. EXTRADA EX 56,S2607,03462 450566,prim1142_villacanas@santafe.edu.ar,1142
Santa Fe,Privado,Urbano,GENERAL LOPEZ,82042,SANCTI SPIRITU,82042044,820000900,ESCUELA ESPEC. PART. INC. NRO 1397 SANTA GERMANA COUSIN,SAN MARTIN 123 GENERAL SAN MARTIN ,S2617,03462 444350,especial1397_sanctispiritu@santafe.edu.ar,1397
Santa Fe,Estatal,Urbano,GENERAL LOPEZ,82042,SANCTI SPIRITU,82042044,820001100,ESCUELA NRO 587 DOMINGO FAUSTINO SARMIENTO,HIPÓLITO YRIGOYEN 347  ,S2617,03462 444111,prim587_sanctispiritu@santafe.edu.ar,587
Santa Fe,Estatal,Urbano,GENERAL LOPEZ,82042,SANCTI SPIRITU,82042044,820001200,E.E.M.P.A. NRO 1196,HIPÓLITO YRIGOYEN 347  ,S2617,03462 444470,eempa1196_sanctispiritu@santafe.edu.ar,1196
Santa Fe,Estatal,Urbano,GENERAL LOPEZ,82042,MARIA TERESA,82042031,820001500,E.E.S. ORIENTADA NRO 244 MARTÍN MIGUEL DE GÜEMES,SAENZ PEÑA 105  ,S2609,03462 671699,sec244_mariateresa@santafe.edu.ar,244
Santa Fe,Estatal,Urbano,GENERAL LOPEZ,82042,MARIA TERESA,82042031,820001600,E.E.M.P.A. NRO 1294,RESTITUTO ALEJANDRE (CALLE 3) 164  ,S2609,03462 488022,eempa1294_mariateresa@santafe.edu.ar,1294
Santa Fe,Estatal,Urbano,GENERAL LOPEZ,82042,SAN GREGORIO,82042041,820001601,ANEXO I - E.E.M.P.A. NRO 1294,BARTOLOMÉ MITRE 994  ,S2613,03382 470028,eempa6294_sangregorio@santafe.edu.ar,1294
Santa Fe,Estatal,Rural,GENERAL LOPEZ,82042,SAN EDUARDO,82042039,820001700,ESCUELA NRO 971 JOSE HERNANDEZ,   CAMPO LA FORTUNA,S2615,03462 15661188,prim971_saneduardo@santafe.edu.ar,971
Santa Fe,Estatal,Rural,GENERAL LOPEZ,82042,SAN EDUARDO,82042039,820001800,E.E.S. ORIENTADA NRO 368,URQUIZA 261  ,S2615,03462 482096,sec368_saneduardo@santafe.edu.ar,368
Santa Fe,Privado,Urbano,ROSARIO,82084,ROSARIO,82084039,820002100,ESCUELA ESPECIAL PARTICULAR INCORPORADA NRO 1242 ALBORADA,BUENOS AIRES 1069 CENTRO ,S2000,0341 4264301,especial1242_rosario@santafe.edu.ar,1242
Santa Fe,Estatal,Urbano,ROSARIO,82084,ROSARIO,82084039,820002300,ESCUELA NRO 114 JUSTO GERMAN DEHEZA,BV SEGUI BIS 101 LA TABLADA ,S2000,0341 4729720,prim114_rosario@santafe.edu.ar,114
